TIF Number,TIF Name,Time Period,Type,Description,Amount,Designation Date,Expiration Date
T-129,Diversey/Narragansett,2026,Revenue,Property tax,2945000,02/05/2003,12/31/2027
T-155,79th/Vincennes,2019,Proposed Projects,Lighting - Smart infrastructure,-800000,09/27/2007,12/31/2031
T-141,26th and King Drive,2019,Current Obligations,Program administration,-15600,01/11/2006,12/31/2030
T-021,Englewood Mall,2019,Proposed Projects,TIF Works,-5000000,11/29/1989,12/31/2025
T-033,North Branch (North),Fund / Project Balances,Current Obligations,Bridge - Cortland St - Phase II - design,-900000,07/02/1997,12/31/2021
T-073,111th Street/Kedzie Avenue Business District,2022,Revenue,Property tax,971100,09/29/1999,09/29/2022
T-063,Canal/Congress,2018,Current Obligations,"Viaduct improvements - Canal, Van Buren to Harrison",-9000000,11/12/1998,12/31/2022
T-129,Diversey/Narragansett,2024,Revenue,Tax rate increase surplus revenue,-210000,02/05/2003,12/31/2027
T-114,119th and Halsted,Fund / Project Balances,Current Obligations,Retail Thrive Zone - SBIF,-250000,02/06/2002,12/31/2026
T-061,Bronzeville,2020,Current Obligations,RA - Pershing & State LP,-31300,11/04/1998,12/31/2022
T-086,Central West,2021,Current Obligations,Program administration,-379500,02/16/2000,12/31/2024
T-149,Stevenson/Brighton,2031,Current Obligations,Program administration,-262600,04/11/2007,12/31/2031
T-059,Calumet Avenue/Cermak Road,2018,Current Obligations,Program administration,-198200,07/29/1998,07/29/2021
T-097,51st/Archer,2022,Current Obligations,MSAC DS - Hernandez MS - other TIF(s),-133600,05/17/2000,12/31/2024
T-166,North Pullman,2023,Current Obligations,Park District IGA - Gately Park,-3000000,06/30/2009,12/31/2033
T-142,Western Avenue/Rock Island,2018,Current Obligations,RA - Home Run Inn,-87500,02/08/2006,12/31/2030
T-174,67th/Wentworth,2019,Proposed Projects,Lighting - Smart infrastructure,-800000,05/04/2011,12/31/2035
T-069,Pulaski Corridor,2018,Current Obligations,Local Industrial Retention Initiative,-6600,06/09/1999,12/31/2023
T-027,Irving/Cicero,2018,Current Obligations,Cost of Issuance,1500,06/10/1996,12/31/2020
T-062,Roosevelt/Racine,2033,Revenue,Tax rate increase surplus revenue,-187000,11/04/1998,12/31/2034
T-079,35th and Wallace,Fund / Project Balances,Current Obligations,Professional services,-6300,12/15/1999,12/31/2023
T-113,Roseland/Michigan,Fund / Project Balances,Current Obligations,Property management costs,-4900,01/16/2002,12/31/2026
T-156,Austin Commercial,2028,Revenue,Tax rate increase surplus revenue,-101000,09/27/2007,12/31/2031
T-090,Peterson/Cicero,Fund / Project Balances,Current Obligations,Program administration,-9300,02/16/2000,12/31/2024
T-160,Kennedy/Kimball,2019,Current Obligations,Program administration,-8700,03/12/2008,12/31/2032
T-143,63rd/Ashland,Fund / Project Balances,Fund Balance,FY'17 year-end balance,4852100,03/29/2006,12/31/2030
T-156,Austin Commercial,2023,Revenue,Property tax,1528200,09/27/2007,12/31/2031
T-095,Midwest,2019,Current Obligations,RA - Mt Sinai Hospital,-6250000,05/17/2000,12/31/2036
T-062,Roosevelt/Racine,2020,Current Obligations,Program administration,-33300,11/04/1998,12/31/2034
T-053,Pilsen Industrial Corridor,2021,Revenue,Tax rate increase surplus revenue,-1405000,06/10/1998,12/31/2022
T-065,Woodlawn,Fund / Project Balances,Current Obligations,Woodlawn Health Center repairs,-1800,01/20/1999,01/20/2022
T-157,Hollywood/Sheridan,Fund / Project Balances,Fund Balance,FY'17 year-end balance,1118600,11/07/2007,12/31/2031
T-116,Lawrence/Pulaski,2019,Revenue,Property tax,1807200,02/27/2002,12/31/2026
T-149,Stevenson/Brighton,2018,Transfers Between TIF Districts,From Midway Ind. Corr. (Park District headquarters),1000000,04/11/2007,12/31/2031
T-147,LaSalle Central,2021,Current Obligations,RA - Presence Healthcare,-553000,11/15/2006,12/31/2030
T-118,47th/King Drive,2018,Current Obligations,Program administration,-121300,03/27/2002,12/31/2026
T-115,Chicago/Central Park,2019,Current Obligations,Retail Thrive Zone - infrastructure,-200000,02/27/2002,12/31/2026
T-119,Lakefront,2022,Current Obligations,RA - Lake Park Crescent For Sale,-206100,03/27/2002,12/31/2026
T-150,Addison South,2020,Revenue,Tax rate increase surplus revenue,-359900,05/09/2007,12/31/2031
T-056,79th Street Corridor,2018,Current Obligations,Small Business Improvement Fund,-500000,07/08/1998,07/08/2021
T-061,Bronzeville,2018,Current Obligations,"Arterial resurfacing - State, 25th to 26th",300,11/04/1998,12/31/2022
T-180,Red Purple Transit,2020,Revenue,Property tax,22894100,11/20/2016,12/31/2052
T-179,Diversey Chicago River,2019,Proposed Transfers,From Addison South (Lighting),200000,10/05/2016,12/31/2040
T-064,Northwest Industrial Corridor,2020,Current Obligations,Program administration,-134300,12/02/1998,12/31/2022
T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,Fund / Project Balances,Current Obligations,TIF Works,-953600,06/10/1998,12/31/2034
T-065,Woodlawn,Fund / Project Balances,Current Obligations,63rd St land swap - parking exchange - Phase 1 environmental,-12100,01/20/1999,01/20/2022
T-048,Western/Ogden,2018,Current Obligations,Viaduct improvements - 1900-2000 S California Ave,-20000,02/05/1998,02/05/2021
T-090,Peterson/Cicero,2022,Revenue,Tax rate increase surplus revenue,-43600,02/16/2000,12/31/2024
T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,2018,Current Obligations,"Resurfacing - Clyde, 87th to 89th St",52400,06/10/1998,12/31/2034
T-106,Englewood Neighborhood,Fund / Project Balances,Current Obligations,"Resurfacing - 57th St, Sangamon to Peoria",-3000,06/27/2001,12/31/2025
T-143,63rd/Ashland,2027,Revenue,Property tax,1581900,03/29/2006,12/31/2030
T-108,Humboldt Park Commercial,Fund / Project Balances,Fund Balance,Revenue recognition adjustment,-503700,06/27/2001,12/31/2025
T-161,Ogden/Pulaski,2019,Revenue,Property tax,157000,04/09/2008,12/31/2032
T-048,Western/Ogden,2020,Current Obligations,Program administration,-158200,02/05/1998,02/05/2021
T-119,Lakefront,2023,Revenue,Property tax,426900,03/27/2002,12/31/2026
T-037,River South,Fund / Project Balances,Current Obligations,Bridge/viaduct maintenance - 406 W Van Buren,-49300,07/30/1997,12/31/2021
T-116,Lawrence/Pulaski,2018,Current Obligations,Professional services,7300,02/27/2002,12/31/2026
T-070,Clark/Montrose,2018,Current Obligations,CPS IGA - Courtenay ES,-200000,07/07/1999,07/07/2022
T-071,Galewood/Armitage Industrial,2022,Revenue,Property tax,2738400,07/07/1999,12/31/2023
T-111,105th/Vincennes,2020,Current Obligations,Program administration,-22500,10/03/2001,12/31/2025
T-065,Woodlawn,2019,Proposed Projects,Resurfacing - various locations,-203700,01/20/1999,01/20/2022
T-126,Madden/Wells,Fund / Project Balances,Current Obligations,Professional services,-11700,11/06/2002,12/31/2026
T-147,LaSalle Central,2020,Proposed Projects,Wells St improvements,-5000000,11/15/2006,12/31/2030
T-105,53rd Street,2022,Revenue,Tax rate increase surplus revenue,-404200,01/10/2001,12/31/2025
T-087,Fullerton/Milwaukee,2018,Current Obligations,MSAC DS - Lorca,-2702500,02/16/2000,12/31/2024
T-063,Canal/Congress,2020,Revenue,Property tax,31265800,11/12/1998,12/31/2022
T-053,Pilsen Industrial Corridor,Fund / Project Balances,Fund Balance,FY'17 year-end balance,42165200,06/10/1998,12/31/2022
T-147,LaSalle Central,Fund / Project Balances,Current Obligations,ADA ramps - Wacker,-66000,11/15/2006,12/31/2030
T-091,Peterson/Pulaski,2020,Revenue,Property tax,1639600,02/16/2000,12/31/2024
T-165,Irving Park/Elston,2024,Current Obligations,Program administration,-3100,05/13/2009,12/31/2033
T-175,51st/Lake Park,2020,Revenue,Property tax,1223500,11/15/2012,12/31/2036
T-180,Red Purple Transit,2035,Current Obligations,Program administration,-2363700,11/20/2016,12/31/2052
T-103,Lake Calumet Area Industrial,Fund / Project Balances,Current Obligations,Bridge repairs - 95th St,-454700,12/13/2000,12/31/2024
T-180,Red Purple Transit,2048,Current Obligations,Program administration,-3159300,11/20/2016,12/31/2052
T-117,47th/Ashland,2018,Current Obligations,Retail Thrive Zone - program admin,-20000,03/27/2002,12/31/2026
T-066,Greater Southwest Industrial Corridor (East),Fund / Project Balances,Current Obligations,"Street/sidewalk - 74th, Damen to Hoyne",-108500,03/10/1999,12/31/2023
T-117,47th/Ashland,Fund / Project Balances,Current Obligations,Retail Thrive Zone - SBIF,-1250000,03/27/2002,12/31/2026
T-066,Greater Southwest Industrial Corridor (East),Fund / Project Balances,Fund Balance,FY'17 year-end balance,2966500,03/10/1999,12/31/2023
T-161,Ogden/Pulaski,2027,Current Obligations,Program administration,-39900,04/09/2008,12/31/2032
T-023,Goose Island,2019,Proposed Projects,Proposed redevelopment project #1,-1100000,07/10/1996,07/10/2019
T-124,67th/Cicero,2025,Revenue,Tax rate increase surplus revenue,-24300,10/02/2002,12/31/2026
T-146,Touhy/Western,2027,Revenue,Property tax,615900,09/13/2006,12/31/2030
T-106,Englewood Neighborhood,2021,Current Obligations,Program administration,-86600,06/27/2001,12/31/2025
T-030,Near North,2019,Revenue,Property tax,34044100,07/30/1997,07/30/2020
T-147,LaSalle Central,Fund / Project Balances,Fund Balance,Surplus TIF funds,-15000000,11/15/2006,12/31/2030
T-097,51st/Archer,2024,Current Obligations,Program administration,-50600,05/17/2000,12/31/2024
T-144,Harrison/Central,2018,Current Obligations,Neighborhood Improvement Program,48700,07/26/2006,12/31/2030
T-052,Kinzie Industrial Corridor,2018,Proposed Projects,Street improvements - Hatchery vicinity,-300000,06/10/1998,12/31/2022
T-105,53rd Street,2023,Current Obligations,Program administration,-105500,01/10/2001,12/31/2025
T-129,Diversey/Narragansett,2018,Current Obligations,Professional services,1900,02/05/2003,12/31/2027
T-143,63rd/Ashland,2028,Current Obligations,Program administration,-85400,03/29/2006,12/31/2030
T-001,35th/Halsted,2018,Current Obligations,Professional services,1800,01/14/1997,12/31/2021
T-063,Canal/Congress,2021,Proposed Projects,"Viaduct improvements - Canal, Jackson to Adams - contruction",-10000000,11/12/1998,12/31/2022
T-165,Irving Park/Elston,2025,Current Obligations,Program administration,-3200,05/13/2009,12/31/2033
T-143,63rd/Ashland,Fund / Project Balances,Current Obligations,Neighborhood Improvement Program,-697700,03/29/2006,12/31/2030
T-024,Homan-Arthington,2019,Revenue,Property tax,865300,02/05/1998,02/05/2021
T-086,Central West,Fund / Project Balances,Current Obligations,Professional services - survey/legal,-30000,02/16/2000,12/31/2024
T-141,26th and King Drive,2019,Proposed Projects,Lighting - Smart infrastructure,-400000,01/11/2006,12/31/2030
T-180,Red Purple Transit,2037,Revenue,Property tax,57106700,11/20/2016,12/31/2052
T-107,Division/Homan,2020,Revenue,Property tax,1456300,06/27/2001,12/31/2025
T-131,35th/State,2020,Current Obligations,RA - Park Boulevard Ph 1,-390900,01/14/2004,12/31/2028
T-134,Devon/Sheridan,2019,Current Obligations,Program administration,-25300,03/31/2004,12/31/2028
T-135,Pratt/Ridge Industrial Park Conservation Area,2023,Current Obligations,RA - S&C Electric,-363300,06/23/2004,12/31/2028
T-084,Western Avenue North,2021,Revenue,Tax rate increase surplus revenue,-696100,01/12/2000,12/31/2024
T-114,119th and Halsted,2018,Current Obligations,Purchase Rehab Program - SF,-500000,02/06/2002,12/31/2026
T-098,63rd/Pulaski,2019,Proposed Projects,Lighting - Smart infrastructure,-800000,05/17/2000,12/31/2024
T-067,Archer Courts,2023,Revenue,Tax rate increase surplus revenue,-79200,05/12/1999,12/31/2023
T-063,Canal/Congress,2019,Current Obligations,"Viaduct improvements - Canal, Van Buren to Harrison",-9000000,11/12/1998,12/31/2022
T-134,Devon/Sheridan,2027,Revenue,Property tax,1775700,03/31/2004,12/31/2028
T-043,Stockyards Annex,Fund / Project Balances,Current Obligations,Stockyards Memorial Median,-102000,12/11/1996,12/31/2020
T-030,Near North,Fund / Project Balances,Current Obligations,"Lighting - Sedgwick, North to Division",-92000,07/30/1997,07/30/2020
T-143,63rd/Ashland,Fund / Project Balances,Current Obligations,Building demolition - Beth El Temple,-284400,03/29/2006,12/31/2030
T-048,Western/Ogden,Fund / Project Balances,Current Obligations,Park District IGA - Livingston Field,-881800,02/05/1998,02/05/2021
T-164,Little Village East,2028,Current Obligations,Program administration,-7800,04/22/2009,12/31/2033
T-128,Commercial Avenue,Fund / Project Balances,Current Obligations,"Diagonal parking - 97th St, Commercial to alley",-68500,11/13/2002,12/31/2026
T-131,35th/State,2027,Current Obligations,RA - Park Boulevard Ph 1,-449000,01/14/2004,12/31/2028
T-144,Harrison/Central,2020,Revenue,Property tax,399500,07/26/2006,12/31/2030
T-042,Sanitary Drainage and Ship Canal,2023,Revenue,Tax rate increase surplus revenue,-61600,07/24/1991,12/31/2027
T-112,79th Street/Southwest Highway,Fund / Project Balances,Current Obligations,Small Business Improvement Fund,-433200,10/03/2001,12/31/2025
T-097,51st/Archer,2018,Current Obligations,MSAC DS - Hernandez - TIF share,-1825100,05/17/2000,12/31/2024
T-140,79th/Cicero,2024,Revenue,Property tax,680800,06/08/2005,12/31/2029
T-119,Lakefront,2019,Current Obligations,Program administration,-8700,03/27/2002,12/31/2026
T-177,Foster/California,2029,Revenue,Property tax,504600,03/05/2014,12/31/2038
T-166,North Pullman,Fund / Project Balances,Fund Balance,Revenue recognition adjustment,-19900,06/30/2009,12/31/2033
T-084,Western Avenue North,2018,Current Obligations,Traffic signal - Foster/Washtenaw,380000,01/12/2000,12/31/2024
T-030,Near North,2019,Proposed Projects,Lighting - Smart infrastructure,-800000,07/30/1997,07/30/2020
T-121,47th/Halsted,Fund / Project Balances,Current Obligations,Vaulted sidewalks - 5000 S Halsted,-25500,05/29/2002,12/31/2026
T-117,47th/Ashland,2023,Current Obligations,Program administration,-64700,03/27/2002,12/31/2026
T-077,Lincoln Avenue,Fund / Project Balances,Current Obligations,Park 526 Development,-49500,11/03/1999,12/31/2023
T-042,Sanitary Drainage and Ship Canal,Fund / Project Balances,Current Obligations,TIF bond cost of issuance,-19300,07/24/1991,12/31/2027
T-094,Chicago/Kingsbury,2024,Current Obligations,Program administration,-795900,04/12/2000,12/31/2024
T-163,Archer/Western,2018,Current Obligations,Professional and technical services,6900,02/11/2009,12/31/2033
T-095,Midwest,2020,Transfers Between TIF Districts,From Western/Ogden (RA - Mt Sinai Hospital),1750000,05/17/2000,12/31/2036
T-030,Near North,Fund / Project Balances,Current Obligations,CPS IGA - Payton HS,-2064500,07/30/1997,07/30/2020
T-004,49th Street/St. Lawrence Avenue,2018,Revenue,Property tax,454600,01/10/1996,12/31/2020
T-141,26th and King Drive,2028,Revenue,Property tax,976800,01/11/2006,12/31/2030
T-084,Western Avenue North,2023,Current Obligations,RA - 4800 Damen LLC,-257000,01/12/2000,12/31/2024
T-095,Midwest,2021,Transfers Between TIF Districts,From Western/Ogden (RA - Mt Sinai Hospital),750000,05/17/2000,12/31/2036
T-042,Sanitary Drainage and Ship Canal,2019,Current Obligations,Program administration,-13400,07/24/1991,12/31/2027
T-135,Pratt/Ridge Industrial Park Conservation Area,2021,Revenue,Property tax,520900,06/23/2004,12/31/2028
T-060,71st/Stony Island,2020,Current Obligations,Program administration,-55400,10/07/1998,12/31/2022
T-048,Western/Ogden,Fund / Project Balances,Current Obligations,Viaduct improvements - Wood & Paulina,-222100,02/05/1998,02/05/2021
T-074,Clark Street and Ridge Avenue,2022,Revenue,Property tax,2854700,09/29/1999,09/29/2022
T-037,River South,2018,Current Obligations,"Lighting - Clark, Van Buren to Polk",4700,07/30/1997,12/31/2021
T-173,Montrose/Clarendon,2021,Revenue,Property tax,268200,06/30/2010,12/31/2034
T-104,River West,2021,Revenue,Property tax,22622500,01/10/2001,12/31/2025
T-053,Pilsen Industrial Corridor,Fund / Project Balances,Current Obligations,RA - Target - 33rd/Damen,-505700,06/10/1998,12/31/2022
T-029,Michigan/Cermak,2024,Current Obligations,Program administration,-52200,09/13/1989,12/31/2025
T-056,79th Street Corridor,2020,Proposed Projects,Proposed redevelopment project #1,-1500000,07/08/1998,07/08/2021
T-033,North Branch (North),Fund / Project Balances,Current Obligations,North Branch Industrial Corridor Planning Study,-29400,07/02/1997,12/31/2021
T-111,105th/Vincennes,2024,Transfers Between TIF Districts,From 119th/I-57 (RA - Renaissance Beverly Ridge),353400,10/03/2001,12/31/2025
T-098,63rd/Pulaski,2020,Revenue,Property tax,2365600,05/17/2000,12/31/2024
T-087,Fullerton/Milwaukee,Fund / Project Balances,Current Obligations,"Green alley - 2362, 2333, 2501 N Milwaukee",-340200,02/16/2000,12/31/2024
T-172,Randolph/Wells,2020,Revenue,Property tax,585600,06/09/2010,12/31/2034
T-110,Wilson Yard,2025,Current Obligations,RA - Clifton Magnolia Apts,-33100,06/27/2001,12/31/2025
T-052,Kinzie Industrial Corridor,Fund / Project Balances,Current Obligations,Resurfacing - 3200 W Huron,-18100,06/10/1998,12/31/2022
T-106,Englewood Neighborhood,Fund / Project Balances,Current Obligations,Neighborhood Improvement Program,-1276100,06/27/2001,12/31/2025
T-165,Irving Park/Elston,Fund / Project Balances,Current Obligations,Traffic signal - left turn arrow - Irving Park Rd & Pulaski,-6000,05/13/2009,12/31/2033
T-109,Lawrence/Broadway,2020,Current Obligations,RA - Uptown Broadway Building,-44400,06/27/2001,12/31/2025
T-113,Roseland/Michigan,2018,Current Obligations,Professional services,8200,01/16/2002,12/31/2026
T-081,Belmont/Central,2018,Current Obligations,MSAC program costs,700,01/12/2000,12/31/2024
T-131,35th/State,2028,Revenue,Tax rate increase surplus revenue,-520000,01/14/2004,12/31/2028
T-177,Foster/California,2037,Revenue,Property tax,651000,03/05/2014,12/31/2038
T-095,Midwest,2024,Revenue,Property tax,19608100,05/17/2000,12/31/2036
T-053,Pilsen Industrial Corridor,Fund / Project Balances,Current Obligations,Streetscape - Canal & 22nd St triangle,-11700,06/10/1998,12/31/2022
T-061,Bronzeville,2021,Current Obligations,Program administration,-68200,11/04/1998,12/31/2022
T-075,Madison/Austin Corridor,Fund / Project Balances,Current Obligations,"Resurfacing - Parkside, Madison to Adams",-11700,09/29/1999,12/31/2023
T-086,Central West,2018,Current Obligations,Neighborhood Improvement Program,-500000,02/16/2000,12/31/2024
T-156,Austin Commercial,2021,Revenue,Tax rate increase surplus revenue,-101000,09/27/2007,12/31/2031
T-171,West Woodlawn,2024,Current Obligations,Program administration,-3100,05/12/2010,12/31/2034
T-171,West Woodlawn,2027,Current Obligations,Program administration,-3400,05/12/2010,12/31/2034
T-095,Midwest,2018,Transfers Between TIF Districts,To Chicago/Central Park (MSAC DS - Raby Horticultural),-223000,05/17/2000,12/31/2036
T-128,Commercial Avenue,Fund / Project Balances,Current Obligations,Lighting - Arterial - 2200-2800 E 95th St,-1200000,11/13/2002,12/31/2026
T-092,Greater Southwest Industrial Corridor (West),2018,Current Obligations,Local Industrial Retention Initiative,-8300,04/12/2000,12/31/2024
T-029,Michigan/Cermak,Fund / Project Balances,Fund Balance,Surplus TIF funds,-3000000,09/13/1989,12/31/2025
T-115,Chicago/Central Park,2019,Current Obligations,CPS IGA - Al Raby - improvements,-1700000,02/27/2002,12/31/2026
T-178,Washington Park,2029,Current Obligations,Program administration,-75600,10/08/2014,12/31/2038
T-104,River West,Fund / Project Balances,Current Obligations,ADA ramps - multiple locations,-155400,01/10/2001,12/31/2025
T-136,47th/State,2021,Revenue,Property tax,1762500,07/21/2004,12/31/2028
T-052,Kinzie Industrial Corridor,Fund / Project Balances,Current Obligations,"Street improvements - Artesian, Hubbard south dead end",-106200,06/10/1998,12/31/2022
T-067,Archer Courts,2021,Current Obligations,RA - Community Housing Partners V,-105000,05/12/1999,12/31/2023
T-125,119th/I-57,2019,Current Obligations,RA - Marshfield Plaza,-1938500,11/06/2002,12/31/2026
T-106,Englewood Neighborhood,Fund / Project Balances,Current Obligations,Englewood Health Center,-612400,06/27/2001,12/31/2025
T-150,Addison South,Fund / Project Balances,Current Obligations,RA - Green Exchange HUD 108 loan,-1388500,05/09/2007,12/31/2031
T-121,47th/Halsted,2018,Current Obligations,Small Business Improvement Fund,-500000,05/29/2002,12/31/2026
T-074,Clark Street and Ridge Avenue,2018,Current Obligations,Delegate Agencies,-30500,09/29/1999,09/29/2022
T-167,Avondale,2024,Current Obligations,Program administration,-5800,07/29/2009,12/31/2033
T-109,Lawrence/Broadway,Fund / Project Balances,Current Obligations,ADA ramps - multiple locations,-14600,06/27/2001,12/31/2025
T-144,Harrison/Central,2028,Revenue,Property tax,702800,07/26/2006,12/31/2030
T-096,Cicero/Archer,Fund / Project Balances,Current Obligations,TIF Works,-125000,05/17/2000,12/31/2024
T-101,Jefferson/Roosevelt,2019,Current Obligations,RA - Home Depot,-208800,08/30/2000,12/31/2024
T-001,35th/Halsted,2019,Proposed Projects,Lighting - Smart infrastructure,-800000,01/14/1997,12/31/2021
T-087,Fullerton/Milwaukee,2022,Current Obligations,RA - Logan Theater,-200000,02/16/2000,12/31/2024
T-166,North Pullman,2027,Current Obligations,RA - Whole Foods Distribution,-839200,06/30/2009,12/31/2033
T-093,South Chicago,Fund / Project Balances,Current Obligations,Neighborhood Improvement Program,-205500,04/12/2000,12/31/2024
T-134,Devon/Sheridan,2018,Current Obligations,Professional services,3400,03/31/2004,12/31/2028
T-090,Peterson/Cicero,2023,Revenue,Tax rate increase surplus revenue,-43600,02/16/2000,12/31/2024
T-121,47th/Halsted,2018,Current Obligations,Boyce Park - street closure,141800,05/29/2002,12/31/2026
T-052,Kinzie Industrial Corridor,2018,Revenue,Property tax,36981800,06/10/1998,12/31/2022
T-163,Archer/Western,2032,Revenue,Property tax,1075400,02/11/2009,12/31/2033
T-061,Bronzeville,2018,Current Obligations,Professional services,20900,11/04/1998,12/31/2022
T-095,Midwest,Fund / Project Balances,Current Obligations,Sidewalks - 2900 W Washington (S side),-11900,05/17/2000,12/31/2036
T-105,53rd Street,2025,Current Obligations,Program administration,-148100,01/10/2001,12/31/2025
T-104,River West,2018,Proposed Projects,Blommer/Transitway - acquisiiton,-7500000,01/10/2001,12/31/2025
T-087,Fullerton/Milwaukee,2018,Current Obligations,"Lighting - Armitage, Lawndale to Kimball",3700,02/16/2000,12/31/2024
T-152,Little Village Industrial Corridor,2026,Current Obligations,Program administration,-9700,06/13/2007,12/31/2031
T-180,Red Purple Transit,2037,Current Obligations,Program administration,-2665000,11/20/2016,12/31/2052
T-095,Midwest,2021,Proposed Projects,Proposed redevelopment project #1,-3138400,05/17/2000,12/31/2036
T-157,Hollywood/Sheridan,Fund / Project Balances,Current Obligations,RA - Hollywood House,-575800,11/07/2007,12/31/2031
T-009,95th and Western,Fund / Project Balances,Current Obligations,"Streetscape Master Plan - Western, 91st to 119th",-5900,07/13/1995,12/31/2019
T-126,Madden/Wells,2019,Current Obligations,RA - Phase 1B rental interest subsidy,-49600,11/06/2002,12/31/2026
T-094,Chicago/Kingsbury,Fund / Project Balances,Current Obligations,RA - E-Port Note B,-2100,04/12/2000,12/31/2024
T-090,Peterson/Cicero,2023,Current Obligations,Program administration,-13400,02/16/2000,12/31/2024
T-106,Englewood Neighborhood,Fund / Project Balances,Current Obligations,"Sidewalk/curb/gutter/driveway - Yale, 64th to 63rd",-79200,06/27/2001,12/31/2025
T-097,51st/Archer,Fund / Project Balances,Fund Balance,FY'17 year-end balance,6832900,05/17/2000,12/31/2024
T-117,47th/Ashland,2023,Current Obligations,RA - Bishop Plaza LLC,-240400,03/27/2002,12/31/2026
T-076,Devon/Western,2018,Current Obligations,Sidewalk - 6401 N Rockwell Av,8000,11/03/1999,12/31/2023
T-096,Cicero/Archer,2019,Proposed Projects,Lighting - Smart infrastructure,-800000,05/17/2000,12/31/2024
T-092,Greater Southwest Industrial Corridor (West),2020,Revenue,Property tax,546800,04/12/2000,12/31/2024
T-169,Ewing Avenue,2028,Current Obligations,Program administration,-24500,03/10/2010,12/31/2034
T-109,Lawrence/Broadway,2023,Revenue,Tax rate increase surplus revenue,-372200,06/27/2001,12/31/2025
T-163,Archer/Western,Fund / Project Balances,Fund Balance,FY'17 year-end balance,700700,02/11/2009,12/31/2033
T-129,Diversey/Narragansett,Fund / Project Balances,Current Obligations,TIF Works,-75000,02/05/2003,12/31/2027
T-052,Kinzie Industrial Corridor,2020,Proposed Transfers,To Midwest (RA - Calhoun School site housing project),-1569200,06/10/1998,12/31/2022
T-053,Pilsen Industrial Corridor,2018,Current Obligations,Street vacation survey work - 23rd/Lumber,35000,06/10/1998,12/31/2022
T-133,83rd/Stewart,2024,Revenue,Property tax,1322700,03/31/2004,12/31/2028
T-092,Greater Southwest Industrial Corridor (West),2019,Current Obligations,Industrial Growth Zone,-875000,04/12/2000,12/31/2024
T-128,Commercial Avenue,2018,Current Obligations,"Diagonal parking - Commercial, 99th to 100th",6400,11/13/2002,12/31/2026
T-141,26th and King Drive,2021,Revenue,Property tax,893900,01/11/2006,12/31/2030
T-148,Harlem Industrial Park Conservation Area,2030,Current Obligations,Program administration,-3700,03/14/2007,12/31/2031
T-034,North Branch (South),2018,Current Obligations,Halsted Triangle Area improvement - Kingsbury / Scott,87300,02/05/1998,02/05/2021
T-073,111th Street/Kedzie Avenue Business District,Fund / Project Balances,Fund Balance,Surplus TIF funds,-52400,09/29/1999,09/29/2022
T-052,Kinzie Industrial Corridor,Fund / Project Balances,Current Obligations,RA - Chicago Greenworks LLC,-13400,06/10/1998,12/31/2022
T-118,47th/King Drive,Fund / Project Balances,Current Obligations,"Resurfacing - 48th, State to Wabash",-33800,03/27/2002,12/31/2026
T-095,Midwest,2018,Current Obligations,Neighborhood Improvement Program,142800,05/17/2000,12/31/2036
T-085,Western Avenue South,2019,Revenue,Property tax,9373500,01/12/2000,12/31/2024
T-153,Elston/Armstrong Industrial Corridor,2019,Proposed Projects,Lighting - Smart infrastructure,-800000,07/19/2007,12/31/2031
T-169,Ewing Avenue,2032,Current Obligations,Program administration,-26400,03/10/2010,12/31/2034
T-095,Midwest,2018,Current Obligations,Lighting - 24th Ward,20700,05/17/2000,12/31/2036
T-166,North Pullman,2031,Current Obligations,Program administration,-98500,06/30/2009,12/31/2033
T-173,Montrose/Clarendon,2023,Current Obligations,Program administration,-8300,06/30/2010,12/31/2034
T-176,107th/Halsted,2020,Revenue,Property tax,1007700,03/05/2014,12/31/2038
T-123,Avalon Park/South Shore,2020,Revenue,Property tax,543700,07/31/2002,12/31/2026
T-109,Lawrence/Broadway,2020,Current Obligations,RA - Gunnison Lofts,-100900,06/27/2001,12/31/2025
T-106,Englewood Neighborhood,Fund / Project Balances,Fund Balance,Surplus TIF funds,-500200,06/27/2001,12/31/2025
T-079,35th and Wallace,2022,Revenue,Tax rate increase surplus revenue,-99700,12/15/1999,12/31/2023
T-061,Bronzeville,Fund / Project Balances,Current Obligations,Pedestrian countdown signals - 31st/King Drive,-12500,11/04/1998,12/31/2022
T-056,79th Street Corridor,Fund / Project Balances,Current Obligations,Professional services,-800,07/08/1998,07/08/2021
T-160,Kennedy/Kimball,2030,Current Obligations,Program administration,-49900,03/12/2008,12/31/2032
T-118,47th/King Drive,2020,Proposed Projects,Proposed redevelopment project #1,-2000000,03/27/2002,12/31/2026
T-142,Western Avenue/Rock Island,2020,Transfers Between TIF Districts,To 111th/Kedzie (Repay prior transfer),-900000,02/08/2006,12/31/2030
T-093,South Chicago,Fund / Project Balances,Current Obligations,"Sidewalks - Buffalo, 85th to 86th",-1900,04/12/2000,12/31/2024
T-130,Edgewater/Ashland,2021,Proposed Projects,Lighting - Smart infrastructure,-600000,10/01/2003,12/31/2027
T-143,63rd/Ashland,2018,Current Obligations,"Lighting - 63rd, Hamilton to Ashland",25700,03/29/2006,12/31/2030
T-052,Kinzie Industrial Corridor,Fund / Project Balances,Current Obligations,Traffic signal - Halsted / Fulton Market,-111600,06/10/1998,12/31/2022
