TIF Number,TIF Name,Time Period,Type,Description,Amount,Designation Date,Expiration Date
T-149,Stevenson/Brighton,2024,Revenue,Property tax,2557500,04/11/2007,12/31/2031
T-106,Englewood Neighborhood,2024,Revenue,Property tax,5226500,06/27/2001,12/31/2025
T-161,Ogden/Pulaski,2024,Revenue,Property tax,18200,04/09/2008,12/31/2032
T-107,Division/Homan,2024,Revenue,Property tax,1353400,06/27/2001,12/31/2025
T-150,Addison South,2024,Revenue,Property tax,4247700,05/09/2007,12/31/2031
T-142,Western Avenue/Rock Island,2024,Revenue,Property tax,1182600,02/08/2006,12/31/2030
T-116,Lawrence/Pulaski,2024,Revenue,Property tax,1589500,02/27/2002,12/31/2026
T-111,105th/Vincennes,2024,Revenue,Property tax,1628200,10/03/2001,12/31/2025
T-101,Jefferson/Roosevelt,2024,Revenue,Property tax,7435300,08/30/2000,12/31/2024
T-166,North Pullman,2024,Revenue,Property tax,1293200,06/30/2009,12/31/2033
T-167,Avondale,2024,Revenue,Property tax,46600,07/29/2009,12/31/2033
T-103,Lake Calumet Area Industrial,2024,Revenue,Property tax,3483800,12/13/2000,12/31/2024
T-158,Weed/Freemont,2024,Revenue,Property tax,837000,01/08/2008,12/31/2032
T-131,35th/State,2024,Revenue,Property tax,2623000,01/14/2004,12/31/2028
T-119,Lakefront,2024,Revenue,Property tax,402000,03/27/2002,12/31/2026
T-130,Edgewater/Ashland,2024,Revenue,Property tax,1556900,10/01/2003,12/31/2027
T-104,River West,2024,Revenue,Property tax,19696700,01/10/2001,12/31/2025
T-146,Touhy/Western,2024,Revenue,Property tax,467200,09/13/2006,12/31/2030
T-125,119th/I-57,2024,Revenue,Property tax,4582500,11/06/2002,12/31/2026
T-157,Hollywood/Sheridan,2024,Revenue,Property tax,96300,11/07/2007,12/31/2031
T-098,63rd/Pulaski,2024,Revenue,Property tax,1909700,05/17/2000,12/31/2024
T-172,Randolph/Wells,2024,Transfers Between TIF Districts,From LaSalle Central (RA - Randolph Tower),568200,06/09/2010,12/31/2034
T-042,Sanitary Drainage and Ship Canal,2024,Transfers Between TIF Districts,To Stevenson/Brighton (CPS - Brighton Park II),-300000,07/24/1991,12/31/2027
T-149,Stevenson/Brighton,2024,Transfers Between TIF Districts,From Sanitary & Ship Canal (CPS - Brighton Park II),300000,04/11/2007,12/31/2031
T-111,105th/Vincennes,2024,Transfers Between TIF Districts,From 119th/I-57 (RA - Renaissance Beverly Ridge),353400,10/03/2001,12/31/2025
T-166,North Pullman,2024,Transfers Between TIF Districts,From Roseland/Michigan (RA - Whole Foods Distribution),507000,06/30/2009,12/31/2033
T-125,119th/I-57,2024,Transfers Between TIF Districts,To 105th/Vincennes (RA - Renaissance Beverly Ridge),-353400,11/06/2002,12/31/2026
T-147,LaSalle Central,2024,Transfers Between TIF Districts,To Randolph/Wells (RA - Randolph Tower),-568200,11/15/2006,12/31/2030
T-113,Roseland/Michigan,2024,Transfers Between TIF Districts,To North Pullman (RA - Whole Foods Distribution),-507000,01/16/2002,12/31/2026
T-109,Lawrence/Broadway,2024,Transfers Between TIF Districts,To Hollywood/Sheridan (RA - Hollywood House),-575800,06/27/2001,12/31/2025
T-157,Hollywood/Sheridan,2024,Transfers Between TIF Districts,From Lawrence/Broadway (RA - Hollywood House),575800,11/07/2007,12/31/2031
T-172,Randolph/Wells,2025,Current Obligations,Program administration,-32100,06/09/2010,12/31/2034
T-175,51st/Lake Park,2025,Current Obligations,Program administration,-11200,11/15/2012,12/31/2036
T-175,51st/Lake Park,2025,Current Obligations,RA - City Hyde Park,-197000,11/15/2012,12/31/2036
T-172,Randolph/Wells,2025,Current Obligations,RA - Randolph Tower,-566600,06/09/2010,12/31/2034
T-180,Red Purple Transit,2025,Current Obligations,CTA IGA Red Purple Modernization,-17864100,11/20/2016,12/31/2052
T-177,Foster/California,2025,Current Obligations,Program administration,-6300,03/05/2014,12/31/2038
T-180,Red Purple Transit,2025,Current Obligations,Program administration,-1075900,11/20/2016,12/31/2052
T-173,Montrose/Clarendon,2025,Current Obligations,Program administration,-14700,06/30/2010,12/31/2034
T-169,Ewing Avenue,2025,Current Obligations,Program administration,-21700,03/10/2010,12/31/2034
T-176,107th/Halsted,2025,Current Obligations,Program administration,-73900,03/05/2014,12/31/2038
T-178,Washington Park,2025,Current Obligations,Program administration,-42000,10/08/2014,12/31/2038
T-042,Sanitary Drainage and Ship Canal,2025,Current Obligations,Program administration,-40300,07/24/1991,12/31/2027
T-095,Midwest,2025,Current Obligations,Program administration,-932100,05/17/2000,12/31/2036
T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,2025,Current Obligations,Program administration,-197600,06/10/1998,12/31/2034
T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,2025,Current Obligations,RA - A Finkl & Sons Co,-400000,06/10/1998,12/31/2034
T-029,Michigan/Cermak,2025,Current Obligations,Program administration,-93400,09/13/1989,12/31/2025
T-045,Stockyards Southeast Quadrant Industrial,2025,Current Obligations,Program administration,-97100,02/26/1992,12/31/2028
T-021,Englewood Mall,2025,Current Obligations,Program administration,-34700,11/29/1989,12/31/2025
T-036,Read-Dunning,2025,Current Obligations,Program administration,-155200,01/11/1991,12/31/2027
T-062,Roosevelt/Racine,2025,Current Obligations,Program administration,-100600,11/04/1998,12/31/2034
T-119,Lakefront,2025,Current Obligations,RA - Lake Park Crescent For Sale,-218700,03/27/2002,12/31/2026
T-118,47th/King Drive,2025,Current Obligations,Program administration,-427400,03/27/2002,12/31/2026
T-145,73rd/University,2025,Current Obligations,Program administration,-27000,09/13/2006,12/31/2030
T-119,Lakefront,2025,Current Obligations,Program administration,-24700,03/27/2002,12/31/2026
T-146,Touhy/Western,2025,Current Obligations,MSAC DS - West Ridge ES - TIF share,-817400,09/13/2006,12/31/2030
T-146,Touhy/Western,2025,Current Obligations,Program administration,-32800,09/13/2006,12/31/2030
T-163,Archer/Western,2025,Current Obligations,Program administration,-11700,02/11/2009,12/31/2033
T-136,47th/State,2025,Current Obligations,Program administration,-88500,07/21/2004,12/31/2028
T-119,Lakefront,2025,Current Obligations,RA - Lake Park Crescent Rental,-61100,03/27/2002,12/31/2026
T-131,35th/State,2025,Current Obligations,RA - Townsend Chicago LLC,-681400,01/14/2004,12/31/2028
T-135,Pratt/Ridge Industrial Park Conservation Area,2025,Current Obligations,RA - S&C Electric,-378000,06/23/2004,12/31/2028
T-109,Lawrence/Broadway,2025,Current Obligations,RA - Gunnison Lofts,-206600,06/27/2001,12/31/2025
T-109,Lawrence/Broadway,2025,Current Obligations,RA - Uptown Broadway Building,-99000,06/27/2001,12/31/2025
T-106,Englewood Neighborhood,2025,Current Obligations,Program administration,-281900,06/27/2001,12/31/2025
T-150,Addison South,2025,Current Obligations,Program administration,-234000,05/09/2007,12/31/2031
T-150,Addison South,2025,Current Obligations,RA - Green Exchange HUD 108 loan,-1050200,05/09/2007,12/31/2031
T-150,Addison South,2025,Current Obligations,RA - Green Exchange Note R-1 pmts,-1612500,05/09/2007,12/31/2031
T-160,Kennedy/Kimball,2025,Current Obligations,Program administration,-17900,03/12/2008,12/31/2032
T-131,35th/State,2025,Current Obligations,Program administration,-141600,01/14/2004,12/31/2028
T-149,Stevenson/Brighton,2025,Current Obligations,Program administration,-142300,04/11/2007,12/31/2031
T-114,119th and Halsted,2025,Current Obligations,Program administration,-90900,02/06/2002,12/31/2026
T-115,Chicago/Central Park,2025,Current Obligations,MSAC DS - Westinghouse - TIF share,-1540400,02/27/2002,12/31/2026
T-151,Armitage/Pulaski,2025,Current Obligations,Program administration,-16100,06/13/2007,12/31/2031
T-113,Roseland/Michigan,2025,Current Obligations,Program administration,-35300,01/16/2002,12/31/2026
T-105,53rd Street,2025,Current Obligations,Program administration,-228400,01/10/2001,12/31/2025
T-105,53rd Street,2025,Current Obligations,RA - CJUF III Harper Court LLC,-2451400,01/10/2001,12/31/2025
T-112,79th Street/Southwest Highway,2025,Current Obligations,Program administration,-84600,10/03/2001,12/31/2025
T-155,79th/Vincennes,2025,Current Obligations,Program administration,-14800,09/27/2007,12/31/2031
T-158,Weed/Freemont,2025,Current Obligations,RA - Grossinger Autoplex,-761100,01/08/2008,12/31/2032
T-111,105th/Vincennes,2025,Current Obligations,RA - Renaissance Beverly Ridge,-630900,10/03/2001,12/31/2025
T-111,105th/Vincennes,2025,Current Obligations,Program administration,-99500,10/03/2001,12/31/2025
T-131,35th/State,2025,Current Obligations,RA - Park Boulevard Ph 1,-431600,01/14/2004,12/31/2028
T-161,Ogden/Pulaski,2025,Current Obligations,Program administration,-17000,04/09/2008,12/31/2032
T-147,LaSalle Central,2025,Current Obligations,RA - Riverside Park II,-5010000,11/15/2006,12/31/2030
T-156,Austin Commercial,2025,Current Obligations,Program administration,-48700,09/27/2007,12/31/2031
T-117,47th/Ashland,2025,Current Obligations,RA - Bishop Plaza LLC,-505400,03/27/2002,12/31/2026
T-117,47th/Ashland,2025,Current Obligations,Program administration,-152300,03/27/2002,12/31/2026
T-117,47th/Ashland,2025,Current Obligations,MSAC DS - Back of the Yards HS,-616100,03/27/2002,12/31/2026
T-130,Edgewater/Ashland,2025,Current Obligations,Program administration,-85300,10/01/2003,12/31/2027
T-133,83rd/Stewart,2025,Current Obligations,RA - Chatham Market,-1172100,03/31/2004,12/31/2028
T-110,Wilson Yard,2025,Current Obligations,Program administration,-446400,06/27/2001,12/31/2025
T-110,Wilson Yard,2025,Current Obligations,RA - 4400 N Broadway,-9427700,06/27/2001,12/31/2025
T-109,Lawrence/Broadway,2025,Current Obligations,Program administration,-221800,06/27/2001,12/31/2025
T-158,Weed/Freemont,2025,Current Obligations,Program administration,-48200,01/08/2008,12/31/2032
T-147,LaSalle Central,2025,Current Obligations,Program administration,-2915500,11/15/2006,12/31/2030
T-116,Lawrence/Pulaski,2025,Current Obligations,RA - Thai Town,-5000,02/27/2002,12/31/2026
T-116,Lawrence/Pulaski,2025,Current Obligations,Program administration,-91700,02/27/2002,12/31/2026
T-133,83rd/Stewart,2025,Current Obligations,Program administration,-75700,03/31/2004,12/31/2028
T-149,Stevenson/Brighton,2025,Current Obligations,CPS IGA - Brighton Pk II,-2500000,04/11/2007,12/31/2031
T-135,Pratt/Ridge Industrial Park Conservation Area,2025,Current Obligations,Program administration,-28200,06/23/2004,12/31/2028
T-104,River West,2025,Current Obligations,Program administration,-1042200,01/10/2001,12/31/2025
T-104,River West,2025,Current Obligations,RA - WaterSaver Faucet,-334000,01/10/2001,12/31/2025
T-153,Elston/Armstrong Industrial Corridor,2025,Current Obligations,Program administration,-40700,07/19/2007,12/31/2031
T-115,Chicago/Central Park,2025,Current Obligations,Program administration,-349800,02/27/2002,12/31/2026
T-110,Wilson Yard,2025,Current Obligations,RA - Clifton Magnolia Apts,-33100,06/27/2001,12/31/2025
T-144,Harrison/Central,2025,Current Obligations,Program administration,-33600,07/26/2006,12/31/2030
T-107,Division/Homan,2025,Current Obligations,Program administration,-77100,06/27/2001,12/31/2025
T-126,Madden/Wells,2025,Current Obligations,RA - Phase 2C tax-exempt note pmts,-157000,11/06/2002,12/31/2026
